topo,num_flows,index,seed,smt_scheduled,smt_time,smt_scheduled_no_wait,smt_time_no_wait,drl_scheduled,drl_time,ratio_drl2smt
CEV,10,0,2305,True,0.5671987533569336,True,0.5905539989471436,True,0.748621940612793,1.26766043739854
CEV,10,1,2306,True,2.272404909133911,True,2.3125102519989014,True,0.41031908988952637,0.17743449549460474
CEV,10,2,2307,True,1.7220392227172852,True,1.746333122253418,True,0.38837265968322754,0.22239322769190945
CEV,10,3,2308,True,1.1333155632019043,True,1.1678860187530518,True,0.35834646224975586,0.3068334208096448
CEV,10,4,2309,True,0.9045484066009521,True,0.9342429637908936,True,0.37992382049560547,0.40666489898300345
CEV,20,0,2305,True,3.6959469318389893,True,3.7617671489715576,True,0.701042652130127,0.18635992722776246
CEV,20,1,2306,True,9.790783166885376,True,9.925215005874634,True,0.8101532459259033,0.08162576281182643
CEV,20,2,2307,True,5.212872266769409,True,5.22126841545105,True,0.7148263454437256,0.1369066457737308
CEV,20,3,2308,True,6.579875946044922,True,6.585387945175171,True,0.6997942924499512,0.10626470274430229
CEV,20,4,2309,True,5.745776414871216,True,5.828454494476318,True,0.6930360794067383,0.11890563442908153
CEV,30,0,2305,True,7.2440102100372314,True,7.333587646484375,True,0.9917306900024414,0.13523131348649853
CEV,30,1,2306,True,15.018258333206177,True,14.96987509727478,True,1.1969871520996094,0.07995972874332914
CEV,30,2,2307,True,10.278552532196045,True,10.23053789138794,True,1.0912487506866455,0.10666582366165303
CEV,30,3,2308,True,13.472050666809082,True,13.491979598999023,True,1.0701353549957275,0.07931640773271859
CEV,30,4,2309,True,14.241651058197021,True,14.440063953399658,True,1.1277458667755127,0.07809839834608245
CEV,40,0,2305,True,11.340757131576538,True,11.529173612594604,True,1.1395807266235352,0.0988432271831386
CEV,40,1,2306,True,27.09385585784912,True,27.268936157226562,True,1.6192536354064941,0.05938088769104307
CEV,40,2,2307,True,16.16278648376465,True,16.207316160202026,True,1.299405813217163,0.08017402760414627
CEV,40,3,2308,True,24.796818256378174,True,25.550223350524902,True,1.23370361328125,0.04828543360877919
CEV,40,4,2309,True,21.629061937332153,True,21.378056526184082,True,1.467189073562622,0.06863061063411412
CEV,50,0,2305,True,19.16966223716736,True,19.34404706954956,True,1.5151174068450928,0.07832473739324773
CEV,50,1,2306,True,47.744850635528564,True,47.094154596328735,False,62.441709756851196,1.3258908731258738
CEV,50,2,2307,True,25.87628960609436,True,25.823403358459473,True,1.7359206676483154,0.06722276856972248
CEV,50,3,2308,True,46.14254951477051,True,45.27471423149109,True,1.7606940269470215,0.038889125129416294
CEV,50,4,2309,True,32.509705543518066,True,32.89517164230347,True,1.9096579551696777,0.05805283449908623
CEV,60,0,2305,True,32.78566241264343,True,34.451904296875,True,2.1696202754974365,0.06297533677098466
CEV,60,1,2306,True,67.62451529502869,True,68.1300892829895,False,60.00849771499634,0.8807928823598219
CEV,60,2,2307,True,55.47613549232483,True,55.877445697784424,True,3.7494521141052246,0.06710135131058599
CEV,60,3,2308,True,59.70312762260437,True,63.88975238800049,True,1.9002552032470703,0.029742722928504703
CEV,60,4,2309,True,54.567346811294556,True,53.93468737602234,True,2.700505495071411,0.05006992023971517
CEV,70,0,2305,True,47.40381860733032,True,48.082900285720825,True,2.531337261199951,0.052645269860139496
CEV,70,1,2306,True,89.0820882320404,True,87.88310837745667,False,60.3969841003418,0.6872422381891368
CEV,70,2,2307,True,86.10284566879272,True,89.23137784004211,True,6.962725639343262,0.07803001374499426
CEV,70,3,2308,True,78.18808770179749,True,75.50325012207031,True,2.617324113845825,0.03466505229396419
CEV,70,4,2309,True,87.79485583305359,True,91.05614304542542,False,60.004544258117676,0.6589840317328514
CEV,80,0,2305,True,69.25431704521179,True,70.59854125976562,True,32.48797607421875,0.46017914102049257
CEV,80,1,2306,True,119.17655801773071,True,118.12093949317932,False,63.54331946372986,0.5379513550804348
CEV,80,2,2307,True,105.81279635429382,True,104.93191623687744,True,5.195993423461914,0.04951775979895644
CEV,80,3,2308,True,107.76876139640808,True,100.81307864189148,True,3.2125158309936523,0.03186606216446539
CEV,80,4,2309,False,166.47172093391418,False,166.01530003547668,False,60.002195835113525,0.3614256988499936
CEV,90,0,2305,True,99.8163378238678,True,93.69483590126038,False,60.006630659103394,0.6404475773066185
CEV,90,1,2306,True,158.30236554145813,False,161.13462591171265,True,30.002779006958008,0.18619696938010608
CEV,90,2,2307,True,143.01390528678894,True,138.05286645889282,True,3.814791202545166,0.02763282864308416
CEV,90,3,2308,True,141.37702202796936,True,147.14238929748535,True,13.982616901397705,0.09502779564852877
CEV,90,4,2309,False,184.25942254066467,False,184.41986870765686,False,60.00706171989441,0.32538284589616456
CEV,100,0,2305,True,125.6094183921814,True,113.69285678863525,False,60.00072407722473,0.527744009359983
CEV,100,1,2306,False,185.02585816383362,False,189.73542642593384,True,40.15436315536499,0.21163345144213153
CEV,100,2,2307,False,175.19667840003967,False,173.6314570903778,True,6.247341156005859,0.03598046840529607
CEV,100,3,2308,False,175.0630738735199,False,175.3590202331543,True,10.4260892868042,0.059455677118530045
CEV,100,4,2309,False,215.39034509658813,False,214.94155550003052,False,60.00932955741882,0.2791890540561865
