topo,num_flows,seed,scheduler,is_scheduled,consuming_time
CEV,25,2128,smt,True,4.335708856582642
CEV,25,2129,smt,True,6.295875310897827
CEV,50,2128,smt,True,24.81161403656006
CEV,50,2129,smt,True,24.79538607597351
CEV,75,2128,smt,True,63.322754859924316
CEV,75,2129,smt,True,61.65015459060669
CEV,25,2128,smt_no_wait,True,4.439749240875244
CEV,25,2129,smt_no_wait,True,6.545524835586548
CEV,50,2128,smt_no_wait,True,25.792154550552368
CEV,50,2129,smt_no_wait,True,25.96893811225891
CEV,75,2128,smt_no_wait,True,67.93645739555359
CEV,75,2129,smt_no_wait,True,65.9167468547821
